page,src,alt,width,height,status
https://liftpdf.com,https://liftpdf.com/images/editorial/pdf-document-structure-diagram.svg,PDF document structure diagram showing pages text images metadata and links,1200,720,OK
https://liftpdf.com/pdf-converter,https://liftpdf.com/_next/image?url=%2Fimages%2Fseo%2Fjpg-to-pdf%2Fjpg-to-pdf-preview.webp&w=3840&q=75,LiftPDF JPG to PDF live page preview,1280,860,OK
https://liftpdf.com/pdf-converter,https://liftpdf.com/_next/image?url=%2Fimages%2Fseo%2Fjpg-to-pdf%2Fjpg-to-pdf-after.webp&w=3840&q=75,LiftPDF JPG to PDF successful conversion state,1280,860,OK
https://liftpdf.com/pdf-editor,https://liftpdf.com/_next/image?url=%2Fimages%2Fseo%2Fmerge-pdf%2Fmerge-pdf-before.webp&w=3840&q=75,LiftPDF PDF workflow preview before export,1280,860,OK
https://liftpdf.com/pdf-editor,https://liftpdf.com/_next/image?url=%2Fimages%2Fseo%2Fmerge-pdf%2Fmerge-pdf-after.webp&w=3840&q=75,LiftPDF PDF success state after export,1280,860,OK
https://liftpdf.com/pdf-image-tools,https://liftpdf.com/_next/image?url=%2Fimages%2Fseo%2Fjpg-to-pdf%2Fjpg-to-pdf-before.webp&w=3840&q=75,LiftPDF JPG to PDF selected images before conversion,1280,860,OK
https://liftpdf.com/pdf-image-tools,https://liftpdf.com/_next/image?url=%2Fimages%2Fseo%2Fjpg-to-pdf%2Fjpg-to-pdf-preview.webp&w=3840&q=75,LiftPDF JPG to PDF live page preview,1280,860,OK
https://liftpdf.com/organize-pdf,https://liftpdf.com/_next/image?url=%2Fimages%2Fseo%2Fmerge-pdf%2Fmerge-pdf-before.webp&w=3840&q=75,LiftPDF Merge PDF file order preview,1280,860,OK
https://liftpdf.com/organize-pdf,https://liftpdf.com/_next/image?url=%2Fimages%2Fseo%2Fmerge-pdf%2Fmerge-pdf-after.webp&w=3840&q=75,LiftPDF Merge PDF successful export state,1280,860,OK
https://liftpdf.com/learn,https://liftpdf.com/_next/image?url=%2Fimages%2Flearn%2Flearning-center-hero.webp&w=640&q=75,"LiftPDF Learning Center visual with guides, tools and PDF workflow cards",1200,720,OK
https://liftpdf.com/learn,https://liftpdf.com/_next/image?url=%2Fimages%2Fseo%2Fextract-pages%2Fextract-pages-before.png&w=384&q=75,LiftPDF Extract Pages visual page picker with PDF thumbnails,1280,860,OK
https://liftpdf.com/learn,https://liftpdf.com/_next/image?url=%2Fimages%2Fseo%2Fmerge-pdf%2Fmerge-pdf-workflow.webp&w=3840&q=75,"LiftPDF Merge PDF workflow with upload, preview and download steps",1280,860,OK
https://liftpdf.com/learn,https://liftpdf.com/_next/image?url=%2Fimages%2Fseo%2Fjpg-to-pdf%2Fjpg-to-pdf-workflow.webp&w=3840&q=75,"LiftPDF JPG to PDF workflow with upload, preview and download",1280,860,OK
https://liftpdf.com/learn,https://liftpdf.com/_next/image?url=%2Fimages%2Flearn%2Fpdf-security.webp&w=3840&q=75,PDF security learning visual with protected document,1200,720,OK
https://liftpdf.com/learn,https://liftpdf.com/_next/image?url=%2Fimages%2Flearn%2Fpdf-basics.webp&w=3840&q=75,Illustrated PDF basics workflow with pages and document blocks,1200,720,OK
https://liftpdf.com/learn,https://liftpdf.com/_next/image?url=%2Fimages%2Flearn%2Fconvert-pdf.webp&w=3840&q=75,PDF conversion workflow showing files changing formats,1200,720,OK
https://liftpdf.com/learn,https://liftpdf.com/_next/image?url=%2Fimages%2Flearn%2Forganize-pdf.webp&w=3840&q=75,Organize PDF visual with pages being merged and reordered,1200,720,OK
https://liftpdf.com/learn,https://liftpdf.com/_next/image?url=%2Fimages%2Flearn%2Fedit-pdf.webp&w=3840&q=75,PDF editing visual with page numbers watermark and rotation,1200,720,OK
https://liftpdf.com/learn,https://liftpdf.com/_next/image?url=%2Fimages%2Flearn%2Fpdf-security.webp&w=3840&q=75,PDF security visual with password protection and encryption,1200,720,OK
https://liftpdf.com/learn,https://liftpdf.com/_next/image?url=%2Fimages%2Flearn%2Fpdf-images.webp&w=3840&q=75,PDF image formats visual with JPG PNG and PDF pages,1200,720,OK
https://liftpdf.com/learn,https://liftpdf.com/_next/image?url=%2Fimages%2Flearn%2Fscanned-vs-searchable-pdf.webp&w=3840&q=75,Troubleshooting visual comparing scanned and searchable PDFs,1200,720,OK
https://liftpdf.com/learn,https://liftpdf.com/_next/image?url=%2Fimages%2Flearn%2Fjpg-vs-png.webp&w=3840&q=75,Comparison visual with image and PDF format cards,1200,720,OK
